No;Nama Vendor;Alat/Teknologi;Provinsi;Kab./Kota;Ketersediaan Alat;Nomor Registrasi;Tanggal Terbit;Masa Berlaku
66;PT Indomedik Niaga Perkasa;Autoclave merk “OMPECO”;DKI Jakarta;Jakarta Pusat;Menjangkau seluruh wilayah Indonesia;066/TRL/Reg-2/KLHK;6 Agustus 2021;3 tahun
67;PT Laju Luas Indonesia;IPAL merk “BIOFILM”;Jawa Timur;Kabupaten Sidoarjo;Menjangkau seluruh wilayah Indonesia;067/TRL/Reg-2/KLHK;21 Oktober 2021;3 tahun
68;PT Pratama Panca Nusantara;IPAL proses SBR dan MLE;Jawa Barat;Kabupaten Bandung;Menjangkau seluruh wilayah Indonesia;068/TRL/Reg-2/KLHK;23 Juni 2021;3 tahun
69;PT RAFA TOPAZ;Autoclave merk “AKARMARK”;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;069/TRL/Reg-2/KLHK;22-Nov-21;3 tahun
70;PT KALTIMEX ENERGY;GGIE PYROLISIS TECHNOLOGY;DKI Jakarta;Jakarta Selatan;Menjangkau seluruh wilayah Indonesia;070/TRL/Reg-1/KLHK;21 Desember 2018;3 tahun
71;PT MULTI KARYA RAJAWALI;INCINERATOR merk “CHIRIMESER”;Jawa Barat;Kota Bandung;Menjangkau seluruh wilayah Indonesia;071/TRL/Reg-1/KLHK;21 Desember 2018;3 tahun
72;PT Jagad Sanitasi Indonesia;IPAL domestic Sistem Anoxy Aerobik Fix Bed Bio Film Reactor (FBBR);DKI Jakarta;Jakarta Selatan;Menjangkau seluruh wilayah Indonesia;072/TRL/Reg-2/KLHK;21 Oktober 2021;3 tahun
73;PT Jagad Sanitasi Indonesia;IPAL Fasyankes Sistem Anoxy Aerobik Fix Bed Bio Film Reactor (FBBR)+ Proses Ozonisasi;DKI Jakarta;Jakarta Selatan;Menjangkau seluruh wilayah Indonesia;073/TRL/Reg-2/KLHK;21 Oktober 2021;3 tahun
74;PT TESENA INOVINDO;Incinerator TSN 96xx series;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;074/TRL/Reg-1/KLHK;19 Februari 2019;3 tahun
75;PT CAHAYA MAS CEMERLANG;Autoclave “BIONET” tipe NX-50 & NX-150;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;075/TRL/Reg-2/KLHK;18 Februari 2022;3 tahun
76;PT Alam Hijau Semesta;IPAL merk “BIOHOME”;DKI Jakarta;Jakarta Barat;Menjangkau seluruh wilayah Indonesia;076/TRL/Reg-2/KLHK;18 Februari 2022;3 tahun
77;PT Enviro Meditech Pratama;Integrated Sterilizer & Shredder – ISS 500 L  ;DKI Jakarta;Jakarta Pusat;Menjangkau seluruh wilayah Indonesia;077/TRL/Reg-1/KLHK;22 Maret 2022;3 tahun
78;PT ECOSOLUSINDO MAKMUR ANUGERAH SEJAHTERA;Grease Trap merk “GREEZE TAP”;Banten;Kota Tangerang;Menjangkau seluruh wilayah Indonesia;078/TRL/Reg-1/KLHK;15-Apr-19;3 tahun
79;PT FIREZAP INDONESIA;Pemadam Kebakaran merk “FIREZAP”;DKI Jakarta;Jakarta Pusat;Menjangkau seluruh wilayah Indonesia;079/TRL/Reg-1/KLHK;16-Apr-19;3 tahun
80;PT KLIN ;Incinerator merk “ATI”;Bali;Kota Denpasar;;080/TRL/Reg-1/KLHK;10 Mei 2019;3 tahun 
81;PT GEMA SCIENTIFIC;IPAL merk “BIMATECH”;DKI Jakarta;Jakarta Barat;Menjangkau seluruh wilayah Indonesia;081/TRL/Reg-1/KLHK;29 Maret 2022;3 tahun
82;PT MEGA FIBER INDONESIA;Septic Tank merk “BIOTROP”;Banten;Kota Tangerang;Menjangkau seluruh wilayah Indonesia;082/TRL/Reg-1/KLHK;17 Juli 2019;3 tahun
83;PT MEGA FIBER INDONESIA;Sewage Treatment Plant (STP) merk “BIOTROP”;Banten;Kota Tangerang;Menjangkau seluruh wilayah Indonesia;083/TRL/Reg-1/KLHK;17 Juli 2019;3 tahun
84;PT CAHAYA MAS CEMERLANG;Alat Pencacah Botol Plastik dan Kaca ;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;084/TRL/Reg-1/KLHK;23 Juli 2019;3 tahun
85;CV DHARMA NUGRAHA;IPAL merk “DHN”;Jawa Timur;Kota Malang;Menjangkau seluruh wilayah Indonesia;085/TRL/Reg-2/KLHK;18  Agustus 2021;3 tahun
86;PT Rototama Berlianplast;Septic tank merk “ TAFF”;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;086/TRL/Reg-1/KLHK;10 Oktober 2019;3 tahun
87;PT Rototama Berlianplast;IPAL system BioFilter merk”BIOTECH” ;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;087/TRL/Reg-1/KLHK;3 Oktober 2019;3 tahun
88;PT Oxtrimed Reka Mandiri;Alat pencacah plastic , kaca dan jarum suntik;Jawa Barat;Kota Bekasi;Menjangkau seluruh wilayah Indonesia;088/TRL/Reg-2/KLHK;23 Desember 2021;3 tahun
89;PT CAHAYA MAS CEMERLANG;Septic Tank merk “BIONET” ;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;089/TRL/Reg-1/KLHK;7 Oktober 2019;3 tahun
90;PT BIOSANT TIRTA LESTARI;IPAL domestik merk “BIOSANT”;Jawa Barat;Kota Bekasi;Menjangkau seluruh wilayah Indonesia;090/TRL/Reg-2/KLHK;4 Oktober 2021;3 tahun
91;PT POLY STAMINO INDONESIA;IPAL dengan Aerator merk “TEOSAN”;DKI Jakarta;Jakarta Barat;Menjangkau seluruh wilayah Indonesia;091/TRL/Reg-1/KLHK;20-Nov-19;3 tahun
92;PT TRIMITRA MULTI ADIKARYA;Alat Penangkap Minyak (Grease Trap) merk PM-30;DKI Jakarta;Jakarta Barat;Menjangkau seluruh wilayah Indonesia;092/TRL/Reg-1/KLHK;20-Nov-19;3 tahun
93;PT Graha Alam Industri;Autoclave Merk “METAMIZER”;DKI Jakarta;Jakarta Selatan;Menjangkau seluruh wilayah Indonesia;093/TRL/Reg-1/KLHK;2 Desember 2019;3 tahun
94;PT OSAKA BHAGASKARA PRABUNYA;IPAL system Ejector;Jawa Timur;Kota Surabaya;Menjangkau seluruh wilayah Indonesia;094/TRL/Reg-1/KLHK;2 Desember 2019;3 tahun
95;PT SUSTI SARANA MANDIRI;IPAL Komunal dan Septic tank merk SANFAB;DI Yogyakarta;Kabupaten Bantul;Menjangkau seluruh wilayah Indonesia;095/TRL/Reg-1/KLHK;4 Desember 2019;3 tahun
96;PT POLY JAYA MEDIKAL;IPAL system Biofilter merk POLY MEDIKAL;Jawa Barat;Kota Depok;Menjangkau seluruh wilayah Indonesia;096/TRL/Reg-1/KLHK;18 Desember 2019;3 tahun
97;PT TOP TEKNO INDO;Incinerator Sampah Domestik merk “STUNGTA”;Jawa Barat;Kota Padalarang;Menjangkau seluruh wilayah Indonesia;097/TRL/Reg-1/KLHK;18 Desember 2019;3 tahun
98;PT CIPTAPRESISI SARANA TEKSINDO;IPAL dengan Aerator merk “AQUAROMIX”;Jawa Barat;Kota Bogor;Menjangkau seluruh wilayah Indonesia;098/TRL/Reg-1/KLHK;20 Desember 2019;3 tahun
99;PT ENVIRO TOTAL SOLUSI;Incinerator NEO-PZW 1800;DKI Jakarta;Jakarta Selatan;;099/TRL/Reg-1/KLHK;30 Desember 2019;3 tahun
100;PT SINTECH MANUNGGAL SEJAHTERA;IPAL merk “SINTECH MBR”;Jawa Tengah;Kota Semarang;Menjangkau seluruh wilayah Indonesia;100/TRL/Reg-1/KLHK;7 Januari 2020;3 tahun
101;PT ASPROS BINAREKA;Oil Separator merk “AsOs”;Jawa Barat;Kota Bandung;Menjangkau seluruh wilayah Indonesia;101/TRL/Reg-1/KLHK;7 Januari 2020;3 tahun
102;PT MURION INDONESIA;"Teknologi pengikat debu abu batubara “ENVICOAL dan COAL TIDE”

Teknologi pengurangan debu di pertambangan batubara “ENVIRODUST dan DUST TIDE”

Teknologi pengurangan padatan dari effluent air limbah “MFLOC”";Banten;Kota Tangerang;Menjangkau seluruh wilayah Indonesia;102/TRL/Reg-1/KLHK;7 Januari 2020;3 tahun
103;PT GRAHADIKA ADIPURNAJASA;IPAL system MBR;DKI Jakarta;Jakarta Pusat;Menjangkau seluruh wilayah Indonesia;103/TRL/Reg-1/KLHK;30 Januari 2020;3 tahun
104;CV TRI CAHYA ARTHA;Rain Water Harvesting;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;104/TRL/Reg-1/KLHK;30 Januari 2020;3 tahun
105;PT BIOFIVE SEJAHTERA INDONESIA;IPAL Domestik merk “BIOFIVE”;Banten;Kabupaten Tangerang;Menjangkau seluruh wilayah Indonesia;105/TRL/Reg-1/KLHK;3 Februari 2020;3 tahun
106;PT BIOFIVE SEJAHTERA INDONESIA;IPAL Fasyankes merk “BIOFIVE”;Banten;Kabupaten Tangerang;Menjangkau seluruh wilayah Indonesia;106/TRL/Reg-1/KLHK;3 Februari 2020;3 tahun
107;PT SURYA UTAMA FIBERTEK;IPAL Domestik merk “BIORICH”;Banten;Kabupaten Tangerang;Menjangkau seluruh wilayah Indonesia;107/TRL/Reg-1/KLHK;3 Maret 2020;3 tahun
108;PT. MELIA HUTAMA PANDE;Penjernih Air Dengan Reverse Osmosis “MENA”;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;108/TRL/Reg-1/KLHK;3 Maret 2020;3 tahun
109;PT. MELIA HUTAMA PANDE;IPAL system MBR merk “MENA” ;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;109/TRL/Reg-1/KLHK;3 Maret 2020;3 tahun
