No;Nama Vendor;Alat/Teknologi;Provinsi;Kab./Kota;Ketersediaan Alat;Nomor Registrasi;Tanggal Terbit;Masa Berlaku
158; PT. GEMILANG JAYA PLASTISINDO;Autoclave limbah medis merk “WANROO”;Jawa Barat;Kabupaten Bekasi;Menjangkau seluruh wilayah Indonesia;157/TRL/Reg-1/KLHK;26 Oktober 2021;3 tahun
159;PT MITRA TIRTA SUKSES;IPAL system Biofilter merk “BIOMITS”;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;158/TRL/Reg-1/KLHK;26 Oktober 2021;3 tahun
160;PT MITRA TIRTA SUKSES;Penjernih Air system RO merk “PROMITS”;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;159/TRL/Reg-1/KLHK;26 Oktober 2021;3 tahun
161;PT HARIFF DAYA TUNGGAL ENGINEERING;Alat Pengolah Limbah B3 system Thermo Plasma;Jawa Barat;Kota Bandung;Menjangkau seluruh wilayah Indonesia;160/TRL/Reg-1/KLHK;18-Nov-21;3 tahun
162;PT KARUNIA INDAMED ;Incinerator Limbah B3 merk “INDAMED”;Jawa Barat;Kota Bekasi;Menjangkau seluruh wilayah Indonesia;161/TRL/Reg-1/KLHK;22-Nov-21;3 tahun
163;PT FAL JAYA ABADI;IPAL limbah domestik merk “BIOFAL” ;Jawa Tengah;Kabupaten Semarang;Menjangkau seluruh wilayah Indonesia;162/TRL/Reg-1/KLHK;3 desember 2021;3 tahun
164;CV MULTI GLOBAL MEDIKATAMA;IPAL limbah system Biofilter merk “ATJ”;Jawa Timur;Kabupaten Sidoarjo;Menjangkau seluruh wilayah Indonesia;163/TRL/Reg-1/KLHK;3 Desember 2021;3 tahun
165;PT MANUNGGAL ABADI CEMERLANG;Septic tank merk “BIOMAC”;Banten;Kabupaten Tangerang;Menjangkau seluruh wilayah Indonesia;164/TRL/Reg-1/KLHK;3 Desember 2021;3 tahun
166;PT PAKAR IPAL INDONESIA;IPAL limbah system Biofilter merk “PAKARBIO”;Banten;Kota Tangerang;Menjangkau seluruh wilayah Indonesia;165/TRL/Reg-1/KLHK;23 Desember 2021;3 tahun
167;PT FARMEL CAHAYA MANDIRI;IPAL limbah system Biofilter merk “FARMEL”;Banten;Kota Tangerang Selatan;Menjangkau seluruh wilayah Indonesia;166/TRL/Reg-1/KLHK;23 Desember 2021;3 tahun
168;PT SINAR CAKRAWALA MEDIKA;Autoclave limbah medis merk SHINVA;DKI Jakarta;Jakarta Pusat;Menjangkau seluruh wilayah Indonesia;167/TRL/Reg-1/KLHK;23 Desember 2021;3 tahun
169;PT BIOVISI JAYA PRATAMA;IPAL Sistem Biofilter merk “BIOVISI”;Jawa Timur;Kabupaten Sidoarjo;Menjangkau seluruh wilayah Indonesia;168/TRL/Reg-1/KLHK;18 Februari 2022;3 tahun 
170;PT JAKARTA BERKARYA;Alat Pengolah Sampah sistem Hydrodrive Reactor;DKI Jakarta;Jakarta Selatan;Menjangkau seluruh wilayah Indonesia;169/TRL/Reg-1/KLHK;15 Februari 2022; 3 tahun  
171;PT SURGIKA ALKESINDO;Pengolah Limbah Medis merk “ Ecosteryl 75+”;DKI Jakarta;Jakarta Pusat;Menjangkau seluruh wilayah Indonesia;170/TRL/Reg-1/KLHK;18 Februari 2022;3 Tahun
172;PT CAHAYA MAS CEMERLANG;Instalasi Pengolahan Air  merk “BIONET”;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;171/TRL/Reg-1/KLHK;8 Maret 2022;3 Tahun
173;PT CAHAYA MAS CEMERLANG;Instalasi Pengolahan Air Bersih merk “BIONET”;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;172/TRL/Reg-1/KLHK;8 Maret 2022;3 Tahun
174;PT CAHAYA MAS CEMERLANG;Pembangkit Listrik Tenaga Surya merk “FASTPEC”;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;173/TRL/Reg-1/KLHK;8 Maret 2022;3 Tahun       
175;PT CAHAYA MAS CEMERLANG;Instalasi Pengolahan Air Limbah sistem Bio-Membrane merk “FASTPEC”;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;174/TRL/Reg-1/KLHK;22 Maret 2022;3 Tahun
176;PT AIREN EMPAT PILAR SOLUSINDO;Instalasi Pengolahan Air Limbah sistem Elektrokoagulasi merk “MARZ Water”;Jawa Barat;Kota Depok;;175/TRL/Reg-1/KLHK;;
177;PT KARTIKA HIJAU ABADI;Incinerator sampah domestik merk “KITECH”;DKI Jakarta;Jakarta Selatan;;176/TRL/Reg-1/KLHK;;
178;PT GEMA SCIENTIFIC PERDANA;Incinerator Limbah Medis merk “BIMATECH”;DKI Jakarta;Jakarta Barat;;177/TRL/Reg-1/KLHK;;
